name;ver;url;file;param
7-Zip;19.00;https://www.7-zip.org/a/7z1900-x64.exe;7z1900-x64.exe;/S
Irfan View;4.54;http://download.betanews.com/download/967963863-1/iview454_x64_setup.exe;iview454_x64_setup.exe;/silent /group=1 /assoc=1 /ini=$env:APPDATA\IrfanView
Adobe Reader;2000620048;ftp://ftp.adobe.com/pub/adobe/reader/win/AcrobatDC/2001220048/AcroRdrDC2001220048_de_DE.exe;AcroRdrDC2000620048_de_DE.exe;/sPB
Mozilla Firefox;latest-build;https://download.mozilla.org/?product=firefox-msi-latest-ssl&os=win64&lang=de;firefoxsetup.msi;/passive
KeePass;2.46;https://doku.fa-netz.de/downloads/KeePass-2.46-Setup.exe;KeePass-2.46-Setup.exe;/VERYSILENT
VLC Media Player;3.0.11;https://mirror.init7.net/videolan/vlc/3.0.11/win64/vlc-3.0.11-win64.exe;vlc-3.0.11-win64.exe;/S /L=1031
Libre Office;7.0.2;https://mirror1.hs-esslingen.de/pub/Mirrors/tdf/libreoffice/stable/7.0.2/win/x86_64/LibreOffice_7.0.2_Win_x64.msi;LibreOffice_7.0.2_Win_x64.msi;/passive REGISTER_ALL_MSO_TYPES=1
Thunderbird;78.3.2;https://download.mozilla.org/?product=thunderbird-78.3.2-msi-SSL&os=win64&lang=de;thunderbird-78.3.2.msi;/passive
ESET Endpoint;latest;https://download.eset.com/com/eset/apps/business/ees/windows/latest/ees_nt64.msi;ees_nt64.msi;/passive CFG_POTENTIALLYUNWANTED_ENABLED=1 CFG_LIVEGRID_ENABLED=0
Google Chrome;latest;http://dl.google.com/chrome/install/375.126/chrome_installer.exe;chrome_installer.exe;;
ESET ERA;latest;https://doku.fa-netz.de/downloads/ESMC_Installer_x64.exe;ESMC_Installer_x64.exe;/S
GFI Agent;10.9.12;https://doku.fa-netz.de/downloads/agent_10_9_12.exe;agent_10_9_12.exe;/silent
Teamviewer 11;latest;https://download.teamviewer.com/download/version_11x/TeamViewer_Setup.exe;TeamViewer_Setup.exe;/S
Teamviewer Host;latest;https://download.teamviewer.com/download/TeamViewer_Host_Setup.exe;TeamViewer_Host_Setup.exe;/S
CallAssist;3.6.2.7-1873;https://doku.fa-netz.de/downloads/PBX_Call_Assist_3_6_2_7_1873_de-DE.msi;PBX_Call_Assist_3_6_2_7_1873_de-DE.msi;/passive
